name,company,year,price,kms_driven,fuel_type,,
BRV IVTEC MT,HONDA,2019,2825000,28000,PETROL,,
CIAZ 1.4 AT,SUZUKI,2020,2575000,10000,PETROL,,
YARIS 1.3 AT,TOYOTA,2020,2775000,22000,PETROL,,
ALTO VX,SUZUKI,2018,1200000,35000,PETROL,,
CITY 1.3 MT,HONDA,2019,2425000,18000,PETROL,,
SPORTAGE AWD,KIA,2021,5700000,5600,PETROL,,
YARIS 1.5 AT,TOYOTA,2020,2975000,11500,PETROL,,
SORENTO 2.4 AWD,KIA,2021,,7800,PETROL,,
TUCSON AWD ULTIMATE,HYUNDAI,2020,6175000,13500,PETROL,,
FORTUNER 2.8 SIGMA,TOYOTA,2017,7750000,23000,DIESEL,,
CIVIC 1.8 UG,HONDA,2020,3925000,24000,PETROL,,
REVO G MT,TOYOTA,2021,7000000,7800,DIESEL,,
CITY 1.5 ASPIRE,HONDA,2013,1900000,59000,PETROL,,
CULTUS VXL,SUZUKI,2018,1825000,25000,PETROL,,
REVO V AT,TOYOTA,2017,6375000,73000,DIESEL,,
SORENTO 2.4 FWD,KIA,2021,,14000,PETROL,,
ALTO VX,SUZUKI,2020,1390000,23000,PETROL,,
SPORTAGE FWD,KIA,2021,5300000,9000,PETROL,,
CITY 1.5 ASPIRE,HONDA,2020,2925000,22000,PETROL,,
FORTUNER 2.7,TOYOTA,2017,9100000,43000,PETROL,,
PICANTO 1.0 AT,KIA,2019,2200000,38000,PETROL,,
BRV IVTEC S CVT,HONDA,2018,3100000,50000,PETROL,,
CIVIC 1.5 TURBO,HONDA,2016,3400000,51000,PETROL,,
BRV IVTEC CVT,HONDA,2017,2850000,64000,PETROL,,
PICANTO 1.0 AT,KIA,2020,2215000,8900,PETROL,,
FORTUNER 2.7,TOYOTA,2021,10900000,5000,PETROL,,
COROLLA ALTIS,TOYOTA,2015,2450000,43500,PETROL,,
TUCSON FWD GLS SPORT,HYUNDAI,2020,5800000,25000,PETROL,,
PICANTO 1.0 MT,KIA,2020,2075000,19000,PETROL,,
REVO G MT,TOYOTA,2018,6425000,37000,DIESEL,,
SORENTO 3.5 FWD,KIA,2021,,11700,PETROL,,
ALTO VXR AGS,SUZUKI,2021,1825000,89000,PETROL,,
